,score,Precision,Recall,f_measure
count,20.0,20.0,20.0,20.0
mean,0.7638783269961977,0.9114665062430024,0.8011440519924115,0.8294132304142495
std,0.0907103029907471,0.09197661896402082,0.19623287658577904,0.0872556428807932
min,0.5893536121673004,0.7734375,0.4880382775119617,0.6538461538461539
25%,0.7062737642585551,0.8305739153196781,0.6330770739841585,0.764089334680329
50%,0.779467680608365,0.9557904023936477,0.8558570937822054,0.8726489604897816
75%,0.8488593155893536,0.9909327323162275,1.0,0.8982232335213381
max,0.9011406844106464,1.0,1.0,0.9383886255924171
