,score,Precision,Recall,f_measure
0,0.7338403041825095,0.9931972789115646,0.6790697674418604,0.8066298342541437
1,0.870722433460076,0.949748743718593,0.8873239436619719,0.9174757281553398
2,0.8631178707224335,0.8506224066390041,1.0,0.9192825112107623
3,0.6653992395437263,1.0,0.5728155339805825,0.7283950617283951
4,0.7110266159695817,0.9928571428571429,0.6495327102803738,0.7853107344632768
5,0.6159695817490495,1.0,0.5120772946859904,0.6773162939297125
6,0.7832699619771863,0.7755905511811023,1.0,0.8736141906873615
7,0.7110266159695817,0.9618320610687023,0.6395939086294417,0.7682926829268293
8,0.779467680608365,0.7734375,1.0,0.8722466960352423
9,0.8631178707224335,0.847457627118644,1.0,0.9174311926605505
10,0.844106463878327,0.9712643678160919,0.824390243902439,0.8918205804749341
11,0.8935361216730038,0.949748743718593,0.9130434782608695,0.9310344827586207
12,0.9011406844106464,0.8878923766816144,0.9949748743718593,0.9383886255924171
13,0.6806083650190115,0.9694656488549618,0.6135265700483091,0.7514792899408284
14,0.7338403041825095,0.984375,0.6494845360824743,0.782608695652174
15,0.7832699619771863,0.7747035573122529,1.0,0.8730512249443207
16,0.779467680608365,0.7769230769230769,1.0,0.8744588744588745
17,0.7832699619771863,0.7799227799227799,1.0,0.8763557483731019
18,0.5893536121673004,0.9902912621359223,0.4880382775119617,0.6538461538461539
19,0.6920152091254753,1.0,0.599009900990099,0.7492260061919505
