,score,Precision,Recall,f_measure
count,100.0,100.0,100.0,100.0
mean,0.8170722433460075,0.8672483864695454,0.9144162436548222,0.8822888559206349
std,0.031218564018046117,0.08264529120926484,0.08827889118816541,0.016448556386786894
min,0.7566539923954373,0.7547892720306514,0.7106598984771574,0.8284023668639053
25%,0.7946768060836502,0.789741935483871,0.8274111675126904,0.8716814159292036
50%,0.8174904942965779,0.8660958822548763,0.9263959390862944,0.8831933975765671
75%,0.8403041825095057,0.9471006026319025,1.0,0.8915071813178286
max,0.8897338403041825,0.9929078014184397,1.0,0.9246753246753247
